generation,best,mean,min,std,best_of_run,gen_seeds
46,6868.419000000036,6575.430227333374,5996.578400000047,310.26519089827275,6868.419000000036,"[244, 261, 268, 1, 390]"
47,6868.419000000036,6630.589400666707,6185.150000000077,273.8649188307695,6868.419000000036,"[997, 658, 975, 940, 934]"
48,6868.419000000036,6704.8224500000315,6295.410300000023,217.81854752109314,6868.419000000036,"[767, 939, 769, 142, 778]"
49,6868.419000000036,6706.0506280000345,6313.832970000057,215.54668995339992,6868.419000000036,"[898, 471, 971, 847, 795]"
50,6868.419000000036,6706.0506280000345,6313.832970000057,215.54668995339992,6868.419000000036,"[964, 643, 574, 440, 790]"
51,6868.419000000036,6706.0506280000345,6313.832970000057,215.54668995339992,6868.419000000036,"[472, 866, 394, 394, 801]"
52,6868.419000000036,6706.0506280000345,6313.832970000057,215.54668995339992,6868.419000000036,"[350, 760, 975, 556, 949]"
53,6868.419000000036,6717.308303333361,6340.079130000024,198.50378081309248,6868.419000000036,"[360, 789, 607, 847, 692]"
54,6868.419000000036,6717.308303333361,6340.079130000024,198.50378081309248,6868.419000000036,"[312, 108, 462, 944, 505]"
55,6868.419000000036,6752.530961333362,6351.589310000045,173.77750599371686,6868.419000000036,"[801, 988, 177, 849, 435]"
56,6868.419000000036,6770.132220666693,6464.587800000031,142.90460540430976,6868.419000000036,"[462, 242, 781, 471, 763]"
57,6868.419000000036,6770.132220666693,6464.587800000031,142.90460540430976,6868.419000000036,"[909, 637, 272, 370, 865]"
58,6868.419000000036,6770.132220666693,6464.587800000031,142.90460540430976,6868.419000000036,"[692, 780, 38, 346, 343]"
59,6868.419000000036,6770.132220666693,6464.587800000031,142.90460540430976,6868.419000000036,"[178, 208, 241, 85, 714]"
60,6868.419000000036,6770.132220666693,6464.587800000031,142.90460540430976,6868.419000000036,"[395, 529, 582, 453, 283]"
61,8218.14523,6922.438924666707,6640.67860000004,352.28062643300814,8218.14523,"[34, 136, 544, 130, 578]"
62,8218.14523,6922.438924666707,6640.67860000004,352.28062643300814,8218.14523,"[638, 642, 292, 242, 4]"
63,8218.14523,6922.438924666707,6640.67860000004,352.28062643300814,8218.14523,"[696, 502, 516, 800, 872]"
64,8218.14523,6922.438924666707,6640.67860000004,352.28062643300814,8218.14523,"[661, 370, 31, 650, 554]"
65,8218.14523,6922.438924666707,6640.67860000004,352.28062643300814,8218.14523,"[762, 538, 586, 428, 254]"
66,8218.14523,6922.438924666707,6640.67860000004,352.28062643300814,8218.14523,"[218, 275, 774, 66, 548]"
67,8218.14523,6922.438924666707,6640.67860000004,352.28062643300814,8218.14523,"[428, 895, 985, 625, 917]"
68,8218.14523,6922.438924666707,6640.67860000004,352.28062643300814,8218.14523,"[619, 479, 403, 391, 149]"
69,8218.14523,6922.438924666707,6640.67860000004,352.28062643300814,8218.14523,"[529, 472, 175, 51, 320]"
70,8218.14523,7018.091551333372,6749.562860000045,385.69429341098817,8218.14523,"[265, 579, 774, 574, 925]"
71,8218.14523,7115.997042666701,6823.96600000004,479.9750142567026,8218.14523,"[299, 988, 774, 180, 746]"
72,8218.14523,7115.997042666701,6823.96600000004,479.9750142567026,8218.14523,"[941, 863, 260, 502, 152]"
73,8218.14523,7115.997042666701,6823.96600000004,479.9750142567026,8218.14523,"[663, 434, 47, 650, 241]"
74,8218.14523,7124.615529333369,6841.976580000076,475.79636336325694,8218.14523,"[579, 901, 390, 992, 513]"
75,8218.14523,7208.981017333366,6868.419000000036,527.5772280242668,8218.14523,"[253, 652, 264, 681, 774]"
76,8218.14523,7258.093244666698,6868.419000000036,527.8772256197427,8218.14523,"[829, 615, 551, 132, 681]"
77,8218.14523,7348.074993333363,6868.419000000036,567.3457823414319,8218.14523,"[456, 182, 877, 397, 813]"
78,8218.14523,7348.074993333363,6868.419000000036,567.3457823414319,8218.14523,"[293, 998, 502, 450, 556]"
79,8218.14523,7348.074993333363,6868.419000000036,567.3457823414319,8218.14523,"[598, 997, 513, 78, 140]"
80,8218.14523,7361.114656000029,6868.419000000036,558.3480914956507,8218.14523,"[40, 470, 666, 394, 979]"
81,8218.14523,7361.114656000029,6868.419000000036,558.3480914956507,8218.14523,"[773, 905, 894, 921, 226]"
82,8218.14523,7471.25269133336,6868.419000000036,564.4802973452933,8218.14523,"[977, 583, 561, 809, 987]"
83,8218.14523,7471.25269133336,6868.419000000036,564.4802973452933,8218.14523,"[668, 592, 461, 454, 791]"
84,8218.14523,7471.25269133336,6868.419000000036,564.4802973452933,8218.14523,"[799, 905, 253, 401, 86]"
85,8218.14523,7523.74879533336,6868.419000000036,542.1502917767896,8218.14523,"[50, 52, 116, 455, 360]"
86,8218.14523,7523.74879533336,6868.419000000036,542.1502917767896,8218.14523,"[372, 87, 263, 902, 86]"
87,8218.14523,7523.74879533336,6868.419000000036,542.1502917767896,8218.14523,"[55, 187, 546, 219, 254]"
